Timestamp,xdk_id,Humidity,Pressure,Temperature,Light,Noise
2022-11-29 20:33:25,2,52,96571,28.691,11,24.145271
2022-11-29 20:33:30,2,52,96574,28.691,11,25.547729
2022-11-29 20:33:35,2,52,96568,28.691,11,28.851078
2022-11-29 20:33:41,2,52,96568,28.701,11,27.017059
2022-11-29 20:33:46,2,52,96569,28.701,11,38.863579
2022-11-29 20:33:52,2,52,96571,28.701,11,26.726038
2022-11-29 20:33:57,2,52,96573,28.701,11,28.662519
2022-11-29 20:34:02,2,52,96568,28.691,11,25.617664
2022-11-29 20:34:08,2,52,96569,28.701,11,32.224686
2022-11-29 20:34:13,2,52,96576,28.701,11,27.546421
2022-11-29 20:34:19,2,52,96578,28.701,11,25.873602
2022-11-29 20:34:24,2,52,96576,28.691,11,39.339252
2022-11-29 20:34:30,2,52,96567,28.691,11,28.662518
2022-11-29 20:34:35,2,52,96570,28.701,11,28.128565
2022-11-29 20:34:40,2,52,96570,28.691,11,22.676193
2022-11-29 20:34:46,2,52,96568,28.691,11,28.057947
2022-11-29 20:34:51,2,52,96572,28.691,11,24.222481
2022-11-29 20:34:57,2,52,96564,28.691,11,27.410835
2022-11-29 20:35:02,2,52,96567,28.691,11,22.30575
2022-11-29 20:35:07,2,52,96570,28.681,11,22.509136
2022-11-29 20:35:13,2,52,96574,28.701,11,27.126261
2022-11-29 20:35:18,2,52,96571,28.701,11,27.555311
2022-11-29 20:35:24,2,52,96568,28.701,11,26.595085
2022-11-29 20:35:29,2,52,96565,28.691,11,19.638493
2022-11-29 20:35:35,2,52,96567,28.691,11,26.915348
2022-11-29 20:35:40,2,52,96570,28.701,11,25.989765
2022-11-29 20:35:45,2,52,96571,28.701,11,16.460058
2022-11-29 20:35:51,2,52,96575,28.691,11,26.966503
2022-11-29 20:35:56,2,52,96571,28.691,11,21.52582
2022-11-29 20:36:02,2,52,96573,28.691,11,25.781055
2022-11-29 20:36:07,2,52,96570,28.701,11,24.482391
2022-11-29 20:36:13,2,52,96566,28.691,11,25.603767
2022-11-29 20:36:18,2,52,96569,28.681,11,24.693428
2022-11-29 20:36:23,2,52,96566,28.691,11,23.495234
2022-11-29 20:36:29,2,52,96573,28.701,11,27.978111
2022-11-29 20:36:34,2,52,96576,28.701,11,25.118263
2022-11-29 20:36:40,2,52,96577,28.691,11,26.60615
2022-11-29 20:36:45,2,52,96575,28.691,11,29.199207
2022-11-29 20:36:51,2,52,96572,28.691,11,23.584784
2022-11-29 20:36:56,2,52,96567,28.691,11,26.639174
2022-11-29 20:37:02,2,52,96569,28.691,11,24.145271
2022-11-29 20:37:08,2,52,96567,28.691,11,27.006998
2022-11-29 20:37:13,2,52,96570,28.691,11,44.462887
2022-11-29 20:37:18,2,52,96566,28.691,11,24.71056
2022-11-29 20:37:24,2,52,96569,28.701,11,25.700129
2022-11-29 20:37:29,2,52,96566,28.701,11,25.05555
2022-11-29 20:37:35,2,52,96566,28.681,11,27.067038
2022-11-29 20:37:40,2,52,96568,28.701,11,32.061012
2022-11-29 20:37:45,2,52,96568,28.691,11,25.96422
2022-11-29 20:37:51,2,52,96570,28.691,11,42.35397
2022-11-29 20:37:56,2,52,96571,28.701,11,28.311455
2022-11-29 20:38:02,2,52,96573,28.701,11,22.565538
2022-11-29 20:38:07,2,52,96571,28.701,11,28.662518
2022-11-29 20:38:13,2,52,96569,28.671,11,25.133802
2022-11-29 20:38:18,2,52,96566,28.691,11,37.1507
2022-11-29 20:38:24,2,52,96572,28.701,11,28.764549
2022-11-29 20:38:29,2,52,96570,28.691,11,27.308643
2022-11-29 20:38:34,2,52,96565,28.691,11,32.810661
2022-11-29 20:38:40,2,52,96565,28.691,11,26.996908
2022-11-29 20:38:45,2,52,96567,28.681,11,27.447409
2022-11-29 20:38:51,2,52,96570,28.681,11,27.929497
2022-11-29 20:38:56,2,52,96565,28.691,11,27.813898
2022-11-29 20:39:01,2,52,96572,28.691,11,38.08004
2022-11-29 20:39:07,2,52,96568,28.691,11,39.824657
2022-11-29 20:39:12,2,52,96569,28.691,11,26.3207
2022-11-29 20:39:18,2,52,96570,28.671,11,28.318911
2022-11-29 20:39:23,2,52,96565,28.691,11,38.146431
2022-11-29 20:39:28,2,52,96569,28.691,11,28.326353
2022-11-29 20:39:34,2,52,96570,28.691,11,21.900738
2022-11-29 20:39:39,2,52,96567,28.691,11,26.925629
2022-11-29 20:39:45,2,52,96567,28.681,11,25.700129
2022-11-29 20:39:50,2,52,96568,28.681,11,27.037121
2022-11-29 20:39:56,2,52,96571,28.691,11,33.976494
2022-11-29 20:40:01,2,52,96573,28.691,11,29.842525
2022-11-29 20:40:07,2,52,96575,28.691,11,31.95912
2022-11-29 20:40:12,2,52,96570,28.691,11,34.004749
2022-11-29 20:40:17,2,52,96572,28.691,11,34.509338
2022-11-29 20:40:23,2,52,96575,28.691,11,33.403801
2022-11-29 20:40:28,2,52,96571,28.671,11,27.994198
2022-11-29 20:40:34,2,52,96575,28.671,11,25.603767
2022-11-29 20:40:39,2,52,96573,28.681,11,25.899687
2022-11-29 20:40:44,2,52,96572,28.671,11,21.867962
2022-11-29 20:40:50,2,52,96574,28.691,11,28.501261
